Rank,Team,Statistic,Year
6,Toronto,3.1,2017
19,Toronto,-1.6,2005
24,Toronto,-5.0,2024
12,Toronto,1.4,2023
4,Toronto,6.5,2020
12,Toronto,2.5,2008
18,Toronto,-0.5,2021
3,Toronto,6.5,2018
7,Toronto,2.8,2016
23,Toronto,-3.0,2004
27,Toronto,-6.3,2011
18,Toronto,-1.5,2013
8,Toronto,2.9,2014
25,Toronto,-3.0,2006
23,Toronto,-2.8,2009
10,Toronto,0.6,2007
22,Toronto,-3.3,2012
11,Toronto,2.3,2015
13,Toronto,1.6,2022
18,Toronto,-1.8,2010
2,Toronto,5.9,2019
