Rank,Statistic,Year
24,0.726,2013
23,0.722,2012
2,0.76,2007
15,0.774,2020
2,0.758,2008
4,0.752,2006
25,0.7659999999999999,2021
21,0.758,2017
7,0.7290000000000001,2004
4,0.7859999999999999,2016
18,0.764,2022
13,0.752,2015
13,0.777,2018
12,0.715,2005
4,0.7509999999999999,2009
20,0.7559999999999999,2023
7,0.758,2014
9,0.765,2024
2,0.77,2010
17,0.77,2019
18,0.733,2011
