Rank,Statistic,Year
8,1.6,2017
14,0.8,2005
1,10.7,2024
1,5.9,2023
5,6.2,2020
1,9.0,2008
14,0.9,2021
6,3.0,2018
8,2.5,2016
20,-2.2,2004
6,5.0,2011
16,-0.6,2013
25,-4.5,2014
19,-1.5,2006
3,6.4,2009
24,-3.4,2007
9,2.2,2012
17,-0.3,2015
1,6.4,2022
8,3.5,2010
6,3.9,2019
