Rank,Statistic,Year
25,-3.9,2017
8,1.8,2005
15,1.9,2024
8,2.3,2023
21,-1.9,2020
19,-2.3,2008
24,-3.7,2021
28,-7.0,2018
20,-2.5,2016
5,4.4,2004
25,-5.3,2011
27,-4.9,2013
22,-2.9,2014
13,0.8,2006
29,-8.8,2009
19,-1.8,2007
27,-5.7,2012
25,-3.7,2015
25,-5.5,2022
25,-4.5,2010
18,-1.1,2019
