Rank,Statistic,Year
14,1.027,2016
21,1.026,2012
19,1.029,2015
22,1.092,2020
28,1.081,2011
5,1.007,2007
25,1.06,2014
6,1.003,2006
15,1.05,2009
2,0.921,2004
13,1.063,2019
3,0.978,2005
22,1.101,2022
7,1.041,2017
24,1.045,2013
4,1.001,2008
26,1.082,2010
14,1.092,2021
27,1.149,2023
25,1.151,2024
11,1.042,2018
