Rank,Statistic,Year
24,1.052,2016
20,1.026,2012
25,1.044,2015
11,1.061,2020
16,1.039,2011
10,1.027,2007
20,1.045,2014
11,1.018,2006
8,1.035,2009
13,0.997,2004
10,1.059,2019
8,1.009,2005
19,1.095,2022
29,1.092,2017
11,1.017,2013
11,1.036,2008
15,1.047,2010
21,1.1,2021
11,1.101,2023
8,1.096,2024
25,1.076,2018
