Rank,Team,Statistic,Year
11,Denver,0.5,2017
11,Denver,1.3,2005
5,Denver,4.5,2024
3,Denver,4.3,2023
10,Denver,3.0,2020
11,Denver,2.9,2008
7,Denver,3.7,2021
12,Denver,1.5,2018
22,Denver,-3.1,2016
11,Denver,0.8,2004
8,Denver,4.2,2011
5,Denver,4.5,2013
20,Denver,-2.1,2014
15,Denver,-0.2,2006
6,Denver,4.3,2009
9,Denver,1.2,2007
8,Denver,2.6,2012
24,Denver,-3.5,2015
12,Denver,1.7,2022
7,Denver,3.7,2010
7,Denver,3.6,2019
