Rank,Team,Statistic
1,Golden State,0.755
2,Houston,0.753
3,Indiana,0.75
4,New York,0.7490000000000001
5,Memphis,0.748
6,San Antonio,0.746
7,Orlando,0.746
8,Washington,0.746
9,LA Lakers,0.7440000000000001
10,New Orleans,0.7440000000000001
11,Minnesota,0.74
12,Brooklyn,0.737
13,Chicago,0.737
14,Okla City,0.737
15,LA Clippers,0.735
16,Boston,0.7340000000000001
17,Toronto,0.7340000000000001
18,Philadelphia,0.7340000000000001
19,Atlanta,0.7340000000000001
20,Portland,0.733
21,Utah,0.732
22,Dallas,0.73
23,Detroit,0.73
24,Cleveland,0.726
25,Miami,0.726
26,Phoenix,0.7190000000000001
27,Denver,0.7190000000000001
28,Milwaukee,0.713
29,Charlotte,0.711
30,Sacramento,0.71
