Rank,Team,Statistic
1,Milwaukee,0.807
2,Utah,0.8029999999999999
3,Orlando,0.799
4,San Antonio,0.792
5,Philadelphia,0.787
6,Detroit,0.785
7,Okla City,0.7809999999999999
8,Memphis,0.7759999999999999
9,Miami,0.7759999999999999
10,Boston,0.775
11,Dallas,0.775
12,Denver,0.775
13,Chicago,0.773
14,Toronto,0.772
15,Charlotte,0.7709999999999999
16,Golden State,0.7709999999999999
17,Cleveland,0.77
18,Portland,0.77
19,New Orleans,0.768
20,Indiana,0.764
21,Atlanta,0.764
22,LA Lakers,0.764
23,New York,0.7609999999999999
24,LA Clippers,0.76
25,Brooklyn,0.759
26,Sacramento,0.755
27,Minnesota,0.7490000000000001
28,Houston,0.745
29,Washington,0.741
30,Phoenix,0.725
