Rank,Team,Statistic
1,Milwaukee,0.7929999999999999
2,New York,0.7879999999999999
3,Utah,0.787
4,Chicago,0.785
5,Golden State,0.785
6,Denver,0.784
7,New Orleans,0.784
8,Miami,0.782
9,Memphis,0.778
10,Dallas,0.775
11,Orlando,0.772
12,Boston,0.772
13,Atlanta,0.77
14,Washington,0.769
15,Portland,0.769
16,Phoenix,0.767
17,Philadelphia,0.767
18,Cleveland,0.764
19,Indiana,0.762
20,Okla City,0.7609999999999999
21,Sacramento,0.76
22,LA Lakers,0.758
23,Toronto,0.7559999999999999
24,Detroit,0.7559999999999999
25,San Antonio,0.7509999999999999
26,Brooklyn,0.7490000000000001
27,Minnesota,0.748
28,Charlotte,0.748
29,Houston,0.7440000000000001
30,LA Clippers,0.743
