Rank,Team,Statistic
1,Detroit,0.812
2,Charlotte,0.7959999999999999
3,Utah,0.792
4,Okla City,0.787
5,Denver,0.7859999999999999
6,San Antonio,0.778
7,Dallas,0.7759999999999999
8,Orlando,0.774
9,Memphis,0.773
10,LA Clippers,0.772
11,Portland,0.77
12,Chicago,0.769
13,Toronto,0.768
14,New Orleans,0.767
15,Miami,0.764
16,Phoenix,0.764
17,Sacramento,0.763
18,Atlanta,0.762
19,Brooklyn,0.762
20,Minnesota,0.759
21,Cleveland,0.758
22,LA Lakers,0.758
23,Milwaukee,0.757
24,Washington,0.7559999999999999
25,Indiana,0.754
26,Philadelphia,0.753
27,Houston,0.753
28,Golden State,0.752
29,Boston,0.747
30,New York,0.741
