Rank,Team,Statistic
1,Charlotte,0.795
2,Detroit,0.7909999999999999
3,New Orleans,0.7879999999999999
4,Cleveland,0.7859999999999999
5,San Antonio,0.7829999999999999
6,Miami,0.782
7,Utah,0.777
8,Washington,0.777
9,Toronto,0.7759999999999999
10,Denver,0.773
11,Phoenix,0.7709999999999999
12,Orlando,0.765
13,Okla City,0.764
14,Portland,0.7609999999999999
15,New York,0.758
16,Brooklyn,0.757
17,Dallas,0.757
18,Indiana,0.753
19,Golden State,0.753
20,Memphis,0.7509999999999999
21,Boston,0.75
22,Chicago,0.7490000000000001
23,Sacramento,0.7490000000000001
24,Minnesota,0.747
25,LA Lakers,0.747
26,Atlanta,0.746
27,Philadelphia,0.74
28,LA Clippers,0.736
29,Milwaukee,0.731
30,Houston,0.731
