Rank,Team,Statistic
1,Charlotte,0.7929999999999999
2,Indiana,0.779
3,San Antonio,0.774
4,Washington,0.773
5,Utah,0.763
6,Portland,0.763
7,LA Lakers,0.763
8,Orlando,0.76
9,LA Clippers,0.7559999999999999
10,Okla City,0.7559999999999999
11,Memphis,0.755
12,Sacramento,0.752
13,Cleveland,0.752
14,Detroit,0.75
15,Boston,0.7490000000000001
16,New Orleans,0.748
17,Golden State,0.747
18,Denver,0.747
19,Chicago,0.743
20,Brooklyn,0.74
21,Atlanta,0.736
22,Phoenix,0.735
23,Miami,0.7340000000000001
24,Milwaukee,0.733
25,Toronto,0.732
26,Houston,0.732
27,New York,0.731
28,Philadelphia,0.73
29,Dallas,0.723
30,Minnesota,0.716
