Rank,Team,Statistic
1,Miami,0.7390000000000001
2,Houston,0.7390000000000001
3,Detroit,0.7340000000000001
4,Brooklyn,0.7340000000000001
5,San Antonio,0.731
6,Philadelphia,0.726
7,Chicago,0.725
8,Utah,0.723
9,Atlanta,0.721
10,Milwaukee,0.72
11,Denver,0.718
12,Cleveland,0.715
13,Minnesota,0.7140000000000001
14,Indiana,0.7140000000000001
15,LA Clippers,0.713
16,Orlando,0.713
17,New York,0.7120000000000001
18,Toronto,0.711
19,Okla City,0.711
20,LA Lakers,0.711
21,Charlotte,0.7090000000000001
22,New Orleans,0.7070000000000001
23,Boston,0.7040000000000001
24,Dallas,0.7020000000000001
25,Washington,0.701
26,Memphis,0.7
27,Golden State,0.6970000000000001
28,Sacramento,0.688
29,Phoenix,0.6829999999999999
30,Portland,0.677
