Rank,Team,Statistic
1,San Antonio,0.758
2,Philadelphia,0.755
3,Toronto,0.754
4,Dallas,0.7509999999999999
5,Orlando,0.75
6,Atlanta,0.75
7,Chicago,0.746
8,Utah,0.742
9,LA Lakers,0.74
10,Miami,0.7390000000000001
11,New York,0.737
12,Denver,0.7340000000000001
13,Houston,0.7340000000000001
14,New Orleans,0.731
15,Boston,0.731
16,Minnesota,0.73
17,Memphis,0.73
18,LA Clippers,0.7290000000000001
19,Detroit,0.728
20,Portland,0.728
21,Indiana,0.727
22,Okla City,0.726
23,Cleveland,0.722
24,Phoenix,0.7170000000000001
25,Milwaukee,0.7090000000000001
26,Charlotte,0.7090000000000001
27,Washington,0.7090000000000001
28,Brooklyn,0.7070000000000001
29,Sacramento,0.705
30,Golden State,0.691
