Rank,Team,Statistic
1,Charlotte,0.78
2,Indiana,0.768
3,Sacramento,0.7659999999999999
4,San Antonio,0.765
5,Washington,0.762
6,Golden State,0.759
7,Cleveland,0.758
8,Orlando,0.755
9,Okla City,0.753
10,Chicago,0.752
11,Memphis,0.752
12,Toronto,0.7509999999999999
13,Atlanta,0.745
14,Utah,0.745
15,Denver,0.745
16,Minnesota,0.7440000000000001
17,New York,0.743
18,Portland,0.742
19,Boston,0.742
20,Houston,0.74
21,New Orleans,0.738
22,Phoenix,0.737
23,Detroit,0.7340000000000001
24,Miami,0.733
25,Dallas,0.73
26,Brooklyn,0.7290000000000001
27,Philadelphia,0.7240000000000001
28,LA Clippers,0.723
29,Milwaukee,0.7140000000000001
30,LA Lakers,0.71
