Rank,Team,Statistic
1,Charlotte,0.807
2,Chicago,0.8059999999999999
3,Houston,0.799
4,Utah,0.799
5,Portland,0.792
6,Dallas,0.789
7,Philadelphia,0.7879999999999999
8,Boston,0.7859999999999999
9,Miami,0.785
10,Detroit,0.785
11,San Antonio,0.7829999999999999
12,Toronto,0.778
13,Cleveland,0.777
14,LA Lakers,0.777
15,Sacramento,0.7759999999999999
16,Denver,0.775
17,Okla City,0.772
18,Washington,0.772
19,Brooklyn,0.77
20,New Orleans,0.769
21,New York,0.767
22,Minnesota,0.7659999999999999
23,Golden State,0.7659999999999999
24,Memphis,0.765
25,Phoenix,0.765
26,Indiana,0.763
27,Atlanta,0.762
28,LA Clippers,0.7609999999999999
29,Milwaukee,0.759
30,Orlando,0.7559999999999999
