Rank,Team,Statistic
1,San Antonio,0.772
2,Cleveland,0.758
3,New Orleans,0.7509999999999999
4,Dallas,0.75
5,Orlando,0.7490000000000001
6,Toronto,0.747
7,Houston,0.745
8,Boston,0.745
9,Utah,0.74
10,Indiana,0.7390000000000001
11,Brooklyn,0.738
12,Okla City,0.737
13,Minnesota,0.736
14,Memphis,0.7340000000000001
15,LA Clippers,0.731
16,Chicago,0.731
17,Milwaukee,0.73
18,LA Lakers,0.7290000000000001
19,Detroit,0.7290000000000001
20,New York,0.727
21,Washington,0.7240000000000001
22,Denver,0.722
23,Miami,0.7190000000000001
24,Portland,0.718
25,Sacramento,0.7170000000000001
26,Philadelphia,0.7170000000000001
27,Atlanta,0.7140000000000001
28,Phoenix,0.7120000000000001
29,Charlotte,0.71
30,Golden State,0.703
