Rank,Team,Statistic
1,Orlando,0.769
2,Chicago,0.762
3,New Orleans,0.757
4,Miami,0.755
5,Charlotte,0.752
6,Denver,0.752
7,San Antonio,0.748
8,Milwaukee,0.748
9,Sacramento,0.7440000000000001
10,Boston,0.7440000000000001
11,Philadelphia,0.742
12,Dallas,0.742
13,Brooklyn,0.742
14,Atlanta,0.741
15,Okla City,0.738
16,Minnesota,0.737
17,Indiana,0.735
18,Cleveland,0.733
19,LA Clippers,0.733
20,LA Lakers,0.7290000000000001
21,Houston,0.727
22,Memphis,0.725
23,Detroit,0.721
24,Toronto,0.72
25,Portland,0.72
26,New York,0.718
27,Utah,0.7170000000000001
28,Phoenix,0.716
29,Washington,0.705
30,Golden State,0.693
