Rank,Team,Statistic
1,Milwaukee,0.8170000000000001
2,Philadelphia,0.804
3,Miami,0.797
4,San Antonio,0.792
5,Utah,0.79
6,Orlando,0.79
7,Sacramento,0.785
8,LA Lakers,0.784
9,Phoenix,0.7829999999999999
10,New York,0.7829999999999999
11,New Orleans,0.7809999999999999
12,Brooklyn,0.778
13,Memphis,0.7759999999999999
14,Boston,0.775
15,Cleveland,0.774
16,Dallas,0.774
17,LA Clippers,0.773
18,Minnesota,0.772
19,Indiana,0.7709999999999999
20,Denver,0.77
21,Okla City,0.768
22,Golden State,0.764
23,Toronto,0.7609999999999999
24,Detroit,0.759
25,Houston,0.7559999999999999
26,Chicago,0.7559999999999999
27,Portland,0.75
28,Atlanta,0.7490000000000001
29,Washington,0.7490000000000001
30,Charlotte,0.7440000000000001
