Rank,Team,Statistic
1,Orlando,0.774
2,Cleveland,0.77
3,San Antonio,0.76
4,Milwaukee,0.757
5,Utah,0.7509999999999999
5,Miami,0.7509999999999999
7,Chicago,0.7490000000000001
8,Portland,0.746
9,Charlotte,0.742
10,LA Clippers,0.74
11,Boston,0.74
12,LA Lakers,0.74
13,Houston,0.738
14,New Orleans,0.738
15,Dallas,0.737
16,Minnesota,0.736
17,Okla City,0.736
18,Sacramento,0.735
19,Detroit,0.7340000000000001
20,Memphis,0.733
21,Philadelphia,0.732
22,Indiana,0.73
23,Toronto,0.7290000000000001
24,Denver,0.726
25,Atlanta,0.726
26,Washington,0.7240000000000001
27,New York,0.721
28,Brooklyn,0.718
29,Phoenix,0.71
30,Golden State,0.685
