Rank,Team,Statistic
1,San Antonio,0.748
2,Houston,0.747
3,Indiana,0.74
4,Brooklyn,0.737
5,Miami,0.733
6,LA Lakers,0.731
7,Cleveland,0.7290000000000001
8,New York,0.728
9,Minnesota,0.727
10,Detroit,0.7240000000000001
11,Utah,0.7240000000000001
12,Golden State,0.721
13,Milwaukee,0.716
14,Dallas,0.716
15,Chicago,0.7140000000000001
16,New Orleans,0.713
17,Philadelphia,0.7070000000000001
18,Atlanta,0.705
19,Toronto,0.701
20,LA Clippers,0.7
21,Portland,0.7
22,Phoenix,0.698
23,Sacramento,0.6970000000000001
24,Denver,0.6970000000000001
25,Boston,0.696
26,Washington,0.695
27,Orlando,0.687
28,Okla City,0.685
29,Memphis,0.684
