Rank,Team,Statistic
1,Sacramento,0.784
2,Orlando,0.7829999999999999
3,Miami,0.78
4,Detroit,0.773
5,New Orleans,0.772
6,Minnesota,0.7709999999999999
7,Milwaukee,0.7709999999999999
8,Boston,0.77
9,Cleveland,0.765
10,Chicago,0.764
11,San Antonio,0.764
12,LA Lakers,0.762
13,Houston,0.76
14,Brooklyn,0.76
15,Denver,0.76
16,Golden State,0.76
17,New York,0.758
18,Dallas,0.755
19,Atlanta,0.752
20,Utah,0.752
21,Phoenix,0.752
22,Memphis,0.748
23,LA Clippers,0.746
24,Charlotte,0.745
25,Portland,0.74
26,Indiana,0.7390000000000001
27,Toronto,0.7390000000000001
28,Philadelphia,0.738
29,Okla City,0.737
30,Washington,0.725
