Rank,Team,Statistic
1,Boston,0.7829999999999999
2,Milwaukee,0.78
3,Orlando,0.777
4,Chicago,0.777
5,Philadelphia,0.7759999999999999
6,New Orleans,0.774
7,Denver,0.773
8,New York,0.77
9,Sacramento,0.77
10,Miami,0.769
11,Toronto,0.767
12,LA Clippers,0.764
13,Atlanta,0.7609999999999999
14,LA Lakers,0.7609999999999999
15,Washington,0.7609999999999999
16,Golden State,0.759
17,Houston,0.758
18,Memphis,0.758
19,Phoenix,0.757
20,Cleveland,0.7559999999999999
21,Dallas,0.755
22,Charlotte,0.755
23,Utah,0.752
24,San Antonio,0.7490000000000001
25,Portland,0.7490000000000001
26,Minnesota,0.7440000000000001
27,Detroit,0.74
28,Brooklyn,0.735
29,Okla City,0.7290000000000001
30,Indiana,0.722
