Rank,Team,Statistic
1,Brooklyn,0.765
2,Miami,0.764
3,LA Clippers,0.759
4,Cleveland,0.752
5,Chicago,0.746
6,Houston,0.746
7,Milwaukee,0.7440000000000001
8,LA Lakers,0.7440000000000001
9,San Antonio,0.738
10,New Orleans,0.7340000000000001
11,Dallas,0.7340000000000001
12,Toronto,0.733
13,Utah,0.732
14,Boston,0.728
15,New York,0.727
16,Indiana,0.726
17,Orlando,0.725
18,Sacramento,0.723
19,Denver,0.723
20,Memphis,0.7170000000000001
21,Golden State,0.716
22,Phoenix,0.716
23,Detroit,0.7140000000000001
24,Philadelphia,0.713
25,Minnesota,0.713
26,Charlotte,0.7070000000000001
27,Washington,0.7070000000000001
28,Atlanta,0.695
29,Okla City,0.69
30,Portland,0.682
