Rank,Team,Statistic
1,San Antonio,0.779
2,Orlando,0.762
3,Boston,0.759
4,Cleveland,0.7509999999999999
5,Houston,0.7509999999999999
6,Portland,0.7509999999999999
7,Minnesota,0.75
8,Dallas,0.7490000000000001
9,New Orleans,0.748
10,Indiana,0.745
11,Milwaukee,0.74
12,Detroit,0.74
13,Okla City,0.7390000000000001
14,Memphis,0.737
15,Toronto,0.737
16,Brooklyn,0.735
17,LA Lakers,0.731
18,Charlotte,0.73
19,Miami,0.7290000000000001
20,Utah,0.728
21,New York,0.727
22,Denver,0.721
23,Phoenix,0.7170000000000001
24,Philadelphia,0.716
25,Atlanta,0.7140000000000001
26,Washington,0.7140000000000001
27,LA Clippers,0.7120000000000001
28,Chicago,0.711
29,Sacramento,0.6970000000000001
30,Golden State,0.6809999999999999
