Rank,Team,Statistic
1,Houston,0.768
2,Cleveland,0.76
3,Utah,0.753
4,San Antonio,0.75
5,Dallas,0.748
6,Brooklyn,0.747
7,LA Clippers,0.747
8,New Orleans,0.747
9,Toronto,0.746
10,Chicago,0.742
11,New York,0.7390000000000001
12,Boston,0.738
13,Orlando,0.735
14,Miami,0.735
15,Portland,0.73
16,Indiana,0.727
17,Sacramento,0.725
18,LA Lakers,0.725
19,Minnesota,0.721
20,Denver,0.718
21,Phoenix,0.7170000000000001
22,Charlotte,0.716
23,Memphis,0.711
24,Detroit,0.7090000000000001
25,Atlanta,0.7090000000000001
26,Okla City,0.7090000000000001
27,Philadelphia,0.708
28,Washington,0.708
29,Golden State,0.6890000000000001
30,Milwaukee,0.6809999999999999
