Rank,Statistic,Year
25,8.9,2005
16,11.6,2012
1,20.3,2020
21,9.9,2011
22,9.5,2007
13,12.2,2017
24,9.6,2016
16,11.6,2010
3,15.5,2023
19,11.4,2018
25,8.1,2008
14,11.0,2009
14,12.0,2015
29,6.7,2014
21,1.1,2004
8,14.7,2024
7,15.3,2022
20,9.7,2006
1,18.0,2019
3,16.9,2021
19,10.6,2013
