Rank,Statistic,Year
4,13.6,2005
2,15.6,2012
7,15.4,2020
2,15.1,2011
17,10.8,2007
16,11.7,2017
10,12.7,2016
12,12.7,2010
23,11.1,2023
16,12.5,2018
28,7.4,2008
22,10.0,2009
19,10.8,2015
7,13.8,2014
3,12.7,2004
12,13.9,2024
4,16.1,2022
5,12.8,2006
12,13.2,2019
16,12.7,2021
2,15.4,2013
