Rank,Team,Statistic
1,Charlotte,0.106
2,Detroit,0.10800000000000001
3,Dallas,0.115
4,New Orleans,0.11599999999999999
5,Toronto,0.11699999999999999
6,LA Clippers,0.12
7,Memphis,0.12
8,Orlando,0.121
9,Boston,0.122
10,Miami,0.12300000000000001
11,San Antonio,0.12300000000000001
12,Chicago,0.12300000000000001
13,New York,0.124
14,Portland,0.124
15,Cleveland,0.124
16,Indiana,0.126
17,Washington,0.126
18,Minnesota,0.128
19,Golden State,0.129
20,Utah,0.13
21,Okla City,0.13
22,Milwaukee,0.131
23,Houston,0.131
24,Denver,0.131
25,Phoenix,0.132
26,LA Lakers,0.134
27,Sacramento,0.136
28,Atlanta,0.141
29,Brooklyn,0.146
30,Philadelphia,0.14800000000000002
