Rank,Team,Statistic
1,Toronto,0.109
2,Atlanta,0.11
3,San Antonio,0.11
4,Memphis,0.11199999999999999
5,Dallas,0.113
6,Charlotte,0.115
7,Phoenix,0.11599999999999999
8,Chicago,0.11699999999999999
9,Milwaukee,0.11900000000000001
10,Philadelphia,0.11900000000000001
11,New York,0.11900000000000001
12,Washington,0.12
13,LA Clippers,0.124
14,Okla City,0.124
15,New Orleans,0.125
16,Sacramento,0.125
17,Utah,0.125
18,Brooklyn,0.125
19,Detroit,0.125
20,Minnesota,0.125
21,Boston,0.126
22,Indiana,0.127
23,LA Lakers,0.127
24,Portland,0.129
25,Orlando,0.129
26,Miami,0.131
27,Cleveland,0.132
28,Denver,0.132
29,Golden State,0.133
30,Houston,0.14400000000000002
