Rank,Team,Statistic
1,Charlotte,0.113
2,Minnesota,0.113
3,Dallas,0.115
4,San Antonio,0.12
5,Toronto,0.121
6,Detroit,0.122
7,Indiana,0.12300000000000001
8,Portland,0.12300000000000001
9,Houston,0.124
10,Okla City,0.124
11,Cleveland,0.124
12,Boston,0.125
13,Chicago,0.125
14,Sacramento,0.128
15,Milwaukee,0.128
16,LA Clippers,0.131
17,New Orleans,0.131
18,Washington,0.131
19,Orlando,0.132
20,New York,0.132
21,Miami,0.132
22,Denver,0.134
23,Golden State,0.135
24,Brooklyn,0.135
25,Utah,0.13699999999999998
26,LA Lakers,0.13699999999999998
27,Phoenix,0.138
28,Memphis,0.139
29,Atlanta,0.141
30,Philadelphia,0.142
