Rank,Team,Statistic
1,Detroit,0.11599999999999999
2,Washington,0.11900000000000001
3,Toronto,0.125
4,Dallas,0.127
5,Cleveland,0.127
6,New Orleans,0.129
7,Phoenix,0.129
8,Sacramento,0.13
9,San Antonio,0.13
10,Houston,0.131
11,Charlotte,0.133
12,Milwaukee,0.136
13,Miami,0.136
14,Okla City,0.136
15,Brooklyn,0.13699999999999998
16,Golden State,0.13699999999999998
17,LA Lakers,0.138
18,LA Clippers,0.138
19,Portland,0.138
20,Philadelphia,0.14
21,Utah,0.14
22,Chicago,0.141
23,Denver,0.142
24,Minnesota,0.14300000000000002
25,Atlanta,0.14400000000000002
26,Memphis,0.146
27,Boston,0.147
28,Indiana,0.147
29,New York,0.151
30,Orlando,0.156
