Rank,Team,Statistic
1,San Antonio,0.107
2,Charlotte,0.10800000000000001
3,Minnesota,0.113
4,Sacramento,0.114
5,Denver,0.114
6,Boston,0.115
7,Okla City,0.11800000000000001
8,Milwaukee,0.11900000000000001
9,Portland,0.11900000000000001
10,Orlando,0.12
11,Toronto,0.121
12,Detroit,0.121
13,Houston,0.122
13,Cleveland,0.122
15,Washington,0.122
16,New York,0.12300000000000001
17,Indiana,0.12300000000000001
18,New Orleans,0.125
19,LA Clippers,0.126
20,Dallas,0.126
21,Golden State,0.126
22,Chicago,0.126
23,Memphis,0.127
24,Brooklyn,0.128
25,Philadelphia,0.13
26,Miami,0.13
27,Utah,0.133
28,LA Lakers,0.134
29,Phoenix,0.13699999999999998
30,Atlanta,0.142
