Rank,Team,Statistic
1,Philadelphia,0.107
2,Boston,0.107
3,Chicago,0.109
4,Houston,0.111
5,Indiana,0.111
6,Okla City,0.11199999999999999
7,Dallas,0.11199999999999999
8,Milwaukee,0.113
9,Denver,0.114
10,Sacramento,0.115
11,Atlanta,0.11599999999999999
12,New York,0.11599999999999999
13,Miami,0.11699999999999999
14,Brooklyn,0.11699999999999999
15,New Orleans,0.11900000000000001
16,LA Clippers,0.11900000000000001
17,Washington,0.121
18,Cleveland,0.122
19,LA Lakers,0.12300000000000001
20,Toronto,0.12300000000000001
21,Golden State,0.124
22,Charlotte,0.125
23,Minnesota,0.126
24,San Antonio,0.131
25,Orlando,0.132
26,Phoenix,0.133
27,Portland,0.133
28,Memphis,0.133
29,Detroit,0.134
30,Utah,0.135
