Rank,Team,Statistic
1,Philadelphia,0.109
2,Milwaukee,0.128
3,Utah,0.129
4,San Antonio,0.129
5,LA Clippers,0.129
6,Sacramento,0.129
7,Golden State,0.131
8,Chicago,0.131
9,Phoenix,0.132
10,Indiana,0.132
11,Dallas,0.133
12,Portland,0.133
13,Houston,0.134
14,Atlanta,0.134
15,Memphis,0.136
16,Denver,0.136
17,LA Lakers,0.13699999999999998
18,Charlotte,0.138
19,Minnesota,0.139
20,Miami,0.139
21,Washington,0.142
22,Boston,0.142
23,Cleveland,0.142
24,Okla City,0.142
25,Brooklyn,0.14300000000000002
26,Orlando,0.14300000000000002
27,Toronto,0.146
28,Detroit,0.149
29,New York,0.15
30,New Orleans,0.151
