Rank,Team,Statistic
1,Dallas,0.106
2,Orlando,0.121
3,Minnesota,0.12300000000000001
4,LA Lakers,0.12300000000000001
5,Milwaukee,0.124
6,Sacramento,0.126
7,Miami,0.129
8,Cleveland,0.132
9,Okla City,0.132
10,Indiana,0.132
11,Toronto,0.132
12,Denver,0.133
13,Golden State,0.134
14,Memphis,0.134
15,Portland,0.135
16,New Orleans,0.135
17,San Antonio,0.136
18,Phoenix,0.13699999999999998
19,Detroit,0.138
20,Chicago,0.141
21,Brooklyn,0.141
22,Philadelphia,0.14300000000000002
23,LA Clippers,0.14400000000000002
24,New York,0.145
25,Atlanta,0.146
26,Utah,0.14800000000000002
27,Boston,0.149
28,Washington,0.153
29,Houston,0.155
