Rank,Team,Statistic
1,Detroit,0.111
2,San Antonio,0.111
3,Dallas,0.11599999999999999
4,Miami,0.11599999999999999
5,Cleveland,0.11599999999999999
6,Portland,0.11699999999999999
7,Atlanta,0.11800000000000001
8,LA Lakers,0.11900000000000001
9,Brooklyn,0.11900000000000001
10,New Orleans,0.12
11,Toronto,0.122
12,Golden State,0.125
13,New York,0.125
14,Indiana,0.126
15,Minnesota,0.126
16,Milwaukee,0.126
17,Chicago,0.127
18,Orlando,0.128
19,Washington,0.128
20,Philadelphia,0.128
21,Houston,0.129
22,Utah,0.131
23,Denver,0.133
24,LA Clippers,0.133
25,Sacramento,0.135
26,Memphis,0.138
27,Boston,0.139
28,Phoenix,0.14
29,Okla City,0.14300000000000002
30,Charlotte,0.145
