Rank,Team,Statistic
1,Charlotte,0.11699999999999999
2,Minnesota,0.122
3,Portland,0.12300000000000001
4,New York,0.124
5,LA Clippers,0.124
6,Dallas,0.124
7,Memphis,0.128
8,New Orleans,0.128
9,Detroit,0.128
10,Cleveland,0.129
11,San Antonio,0.131
12,Toronto,0.132
13,Washington,0.134
14,LA Lakers,0.136
15,Brooklyn,0.13699999999999998
16,Sacramento,0.138
17,Utah,0.138
18,Golden State,0.138
19,Orlando,0.138
20,Phoenix,0.139
21,Okla City,0.139
22,Denver,0.139
23,Milwaukee,0.14
24,Chicago,0.14
25,Indiana,0.141
26,Boston,0.141
27,Miami,0.141
28,Atlanta,0.141
29,Houston,0.142
30,Philadelphia,0.147
