Rank,Team,Statistic
1,San Antonio,0.109
2,Dallas,0.113
3,Orlando,0.113
4,Portland,0.114
5,Indiana,0.11800000000000001
6,Boston,0.12
7,Washington,0.12
8,Okla City,0.122
9,Denver,0.122
10,Houston,0.125
11,New York,0.125
12,Philadelphia,0.126
13,Toronto,0.126
14,Milwaukee,0.127
15,LA Clippers,0.127
16,Sacramento,0.129
17,Minnesota,0.129
18,Golden State,0.13
19,Memphis,0.131
20,Phoenix,0.131
21,LA Lakers,0.131
22,Charlotte,0.132
23,Brooklyn,0.133
24,Miami,0.134
25,Utah,0.135
26,New Orleans,0.136
27,Chicago,0.136
28,Detroit,0.13699999999999998
29,Atlanta,0.138
30,Cleveland,0.146
