Rank,Team,Statistic
1,Charlotte,0.114
2,LA Clippers,0.11800000000000001
3,Dallas,0.11800000000000001
4,Detroit,0.121
5,Boston,0.121
6,San Antonio,0.122
7,New Orleans,0.122
8,Toronto,0.12300000000000001
9,Memphis,0.124
10,New York,0.125
11,Cleveland,0.125
12,LA Lakers,0.125
13,Chicago,0.125
14,Orlando,0.128
15,Portland,0.129
16,Washington,0.13
17,Miami,0.131
18,Denver,0.132
19,Golden State,0.132
20,Indiana,0.134
21,Brooklyn,0.136
22,Atlanta,0.136
23,Okla City,0.13699999999999998
24,Minnesota,0.13699999999999998
25,Milwaukee,0.14
26,Utah,0.141
27,Sacramento,0.141
28,Houston,0.142
29,Philadelphia,0.147
30,Phoenix,0.152
