Rank,Team,Statistic
1,Atlanta,0.10800000000000001
2,Portland,0.11199999999999999
3,Dallas,0.11699999999999999
4,Milwaukee,0.11800000000000001
5,LA Lakers,0.11900000000000001
6,New Orleans,0.121
7,Detroit,0.121
8,Miami,0.121
9,Toronto,0.122
10,San Antonio,0.12300000000000001
11,Denver,0.124
12,Chicago,0.124
13,New York,0.125
14,Houston,0.126
15,Phoenix,0.127
16,Golden State,0.127
17,Cleveland,0.127
18,Brooklyn,0.129
19,Sacramento,0.129
20,Okla City,0.13
21,Indiana,0.13
22,Philadelphia,0.131
23,Orlando,0.131
24,Memphis,0.131
25,Washington,0.132
26,Utah,0.134
27,Boston,0.135
28,LA Clippers,0.14
29,Minnesota,0.141
30,Charlotte,0.14300000000000002
