Rank,Team,Statistic
1,New York,0.11599999999999999
2,Philadelphia,0.124
3,Milwaukee,0.128
4,Memphis,0.128
5,Dallas,0.129
6,Cleveland,0.129
7,Toronto,0.13
8,Charlotte,0.132
9,Sacramento,0.134
10,Miami,0.134
11,Denver,0.135
12,Chicago,0.135
13,San Antonio,0.135
14,Orlando,0.136
15,Brooklyn,0.13699999999999998
16,Minnesota,0.13699999999999998
17,LA Clippers,0.13699999999999998
18,Utah,0.138
19,LA Lakers,0.138
20,Portland,0.138
21,Atlanta,0.139
22,Golden State,0.14
23,New Orleans,0.14
24,Okla City,0.14
25,Washington,0.141
26,Boston,0.142
27,Detroit,0.142
28,Phoenix,0.14300000000000002
29,Indiana,0.14400000000000002
30,Houston,0.14800000000000002
