Rank,Team,Statistic
1,Portland,0.099
2,San Antonio,0.10099999999999999
3,Dallas,0.11
4,Phoenix,0.113
5,Memphis,0.113
6,Orlando,0.114
7,Atlanta,0.11699999999999999
8,LA Clippers,0.11699999999999999
9,New York,0.11800000000000001
10,Toronto,0.11800000000000001
11,Indiana,0.11800000000000001
12,Denver,0.11800000000000001
13,Brooklyn,0.11900000000000001
14,Sacramento,0.11900000000000001
15,Milwaukee,0.11900000000000001
16,Washington,0.122
17,Minnesota,0.12300000000000001
18,Boston,0.124
19,Philadelphia,0.125
20,Utah,0.126
21,New Orleans,0.126
22,Houston,0.129
23,Miami,0.13
24,Charlotte,0.132
25,Golden State,0.134
26,Detroit,0.134
27,LA Lakers,0.135
28,Chicago,0.135
29,Cleveland,0.139
30,Okla City,0.141
