Rank,Team,Statistic
1,Toronto,0.10300000000000001
2,Atlanta,0.111
3,Okla City,0.11199999999999999
4,Dallas,0.113
5,New York,0.11599999999999999
6,Memphis,0.11599999999999999
7,Phoenix,0.11800000000000001
8,Boston,0.11800000000000001
9,Sacramento,0.11800000000000001
10,Miami,0.12
11,Chicago,0.12
12,LA Lakers,0.12
13,Charlotte,0.12300000000000001
14,Cleveland,0.124
15,Philadelphia,0.124
16,Brooklyn,0.125
17,Denver,0.126
18,Milwaukee,0.126
19,Washington,0.127
20,LA Clippers,0.127
21,New Orleans,0.128
22,Portland,0.13
23,Indiana,0.13
24,San Antonio,0.13
25,Utah,0.132
26,Detroit,0.132
27,Orlando,0.133
28,Minnesota,0.135
29,Golden State,0.138
30,Houston,0.14
