Rank,Team,Statistic
1,Sacramento,0.115
2,Dallas,0.11800000000000001
3,Toronto,0.11900000000000001
4,Golden State,0.11900000000000001
5,Phoenix,0.12
6,Okla City,0.121
7,Minnesota,0.122
8,Cleveland,0.122
9,Detroit,0.12300000000000001
10,Washington,0.124
11,Milwaukee,0.125
12,Charlotte,0.127
13,San Antonio,0.127
14,Houston,0.128
15,Miami,0.128
16,LA Lakers,0.129
17,Brooklyn,0.129
18,New York,0.131
19,Denver,0.132
20,New Orleans,0.134
21,Indiana,0.134
22,Memphis,0.135
23,Philadelphia,0.13699999999999998
24,LA Clippers,0.14
25,Atlanta,0.141
26,Orlando,0.141
27,Boston,0.142
28,Utah,0.14300000000000002
29,Portland,0.145
30,Chicago,0.147
