Rank,Team,Statistic
1,Charlotte,0.111
2,LA Clippers,0.115
3,Dallas,0.11800000000000001
4,Toronto,0.11900000000000001
5,LA Lakers,0.12
6,Detroit,0.122
7,Memphis,0.12300000000000001
8,Boston,0.124
9,Portland,0.124
10,New Orleans,0.125
11,Denver,0.126
12,San Antonio,0.128
13,Chicago,0.129
14,Brooklyn,0.129
15,Indiana,0.13
16,Golden State,0.13
17,Okla City,0.13
18,Cleveland,0.13
19,Atlanta,0.132
20,Phoenix,0.136
21,Minnesota,0.13699999999999998
22,Washington,0.138
23,New York,0.139
24,Orlando,0.139
25,Miami,0.14300000000000002
26,Utah,0.145
27,Houston,0.146
28,Sacramento,0.147
29,Milwaukee,0.151
30,Philadelphia,0.159
