Rank,Team,Statistic
1,Detroit,0.106
2,Phoenix,0.115
3,Toronto,0.11800000000000001
4,New Orleans,0.121
5,Dallas,0.122
6,Washington,0.12300000000000001
7,Charlotte,0.124
8,Golden State,0.125
9,Brooklyn,0.126
10,LA Lakers,0.126
11,Philadelphia,0.127
12,Cleveland,0.128
13,San Antonio,0.129
14,Okla City,0.13
15,Denver,0.13
16,Memphis,0.131
17,Sacramento,0.131
18,Milwaukee,0.131
19,LA Clippers,0.132
20,Minnesota,0.135
21,Houston,0.135
22,Portland,0.135
23,Chicago,0.136
24,Miami,0.136
25,Orlando,0.14
26,Atlanta,0.14
27,Utah,0.141
28,Indiana,0.14300000000000002
29,Boston,0.15
30,New York,0.159
