Rank,Team,Statistic
1,New Orleans,0.105
2,Toronto,0.10800000000000001
3,Detroit,0.11
4,Golden State,0.113
5,Dallas,0.115
6,Portland,0.11800000000000001
7,Washington,0.11900000000000001
8,San Antonio,0.11900000000000001
9,Houston,0.122
10,LA Lakers,0.124
11,Cleveland,0.124
12,Denver,0.125
13,Phoenix,0.127
14,New York,0.128
15,Philadelphia,0.128
16,Chicago,0.129
17,Utah,0.13
18,Charlotte,0.131
19,Minnesota,0.131
20,LA Clippers,0.131
21,Indiana,0.132
22,Orlando,0.132
23,Milwaukee,0.132
24,Atlanta,0.134
25,Boston,0.135
26,Brooklyn,0.136
27,Memphis,0.136
28,Okla City,0.136
29,Miami,0.13699999999999998
30,Sacramento,0.141
