Rank,Team,Statistic
1,Miami,0.226
2,Okla City,0.225
3,LA Clippers,0.225
4,Houston,0.221
5,Minnesota,0.214
6,Washington,0.212
7,Phoenix,0.209
8,Brooklyn,0.207
9,LA Lakers,0.207
10,Utah,0.20600000000000002
11,New York,0.205
12,Milwaukee,0.204
13,Dallas,0.204
14,Golden State,0.203
15,San Antonio,0.20199999999999999
16,Detroit,0.201
17,Boston,0.2
18,Atlanta,0.19899999999999998
19,Toronto,0.198
20,Orlando,0.19699999999999998
21,Philadelphia,0.196
22,Charlotte,0.195
23,New Orleans,0.19399999999999998
24,Portland,0.19
25,Denver,0.183
26,Memphis,0.183
27,Sacramento,0.18100000000000002
28,Chicago,0.18
29,Cleveland,0.17600000000000002
30,Indiana,0.172
