Rank,Team,Statistic
1,Sacramento,0.265
2,Houston,0.24600000000000002
3,LA Clippers,0.24
4,Minnesota,0.23399999999999999
5,Miami,0.22899999999999998
6,Chicago,0.228
7,Toronto,0.226
8,Cleveland,0.225
9,Utah,0.222
10,Okla City,0.218
11,Denver,0.215
12,LA Lakers,0.214
13,Memphis,0.214
14,Philadelphia,0.213
15,Charlotte,0.212
16,Indiana,0.20600000000000002
17,Brooklyn,0.20600000000000002
18,Dallas,0.205
19,New Orleans,0.205
20,Detroit,0.205
21,San Antonio,0.201
22,Washington,0.19899999999999998
23,Atlanta,0.19699999999999998
24,Phoenix,0.193
25,Milwaukee,0.193
26,Golden State,0.188
27,Boston,0.18600000000000003
28,New York,0.18100000000000002
29,Portland,0.18
30,Orlando,0.17800000000000002
