Rank,Team,Statistic
1,LA Clippers,0.247
2,Philadelphia,0.235
3,Dallas,0.22399999999999998
4,Utah,0.22399999999999998
5,Brooklyn,0.21899999999999997
6,Houston,0.218
7,Minnesota,0.21
8,Memphis,0.21
9,New York,0.21
10,Okla City,0.21
11,Washington,0.207
12,Milwaukee,0.207
13,Charlotte,0.205
14,Portland,0.205
15,Detroit,0.20199999999999999
16,LA Lakers,0.19899999999999998
17,Phoenix,0.19899999999999998
18,New Orleans,0.19899999999999998
19,Toronto,0.198
20,Atlanta,0.195
21,Sacramento,0.193
22,Miami,0.192
23,San Antonio,0.191
24,Denver,0.191
25,Indiana,0.191
26,Cleveland,0.187
27,Golden State,0.18600000000000003
28,Chicago,0.185
29,Boston,0.177
30,Orlando,0.174
