Rank,Team,Statistic
1,Denver,0.266
2,Orlando,0.261
3,Utah,0.259
4,Atlanta,0.258
5,Boston,0.258
6,Brooklyn,0.257
7,LA Lakers,0.257
8,Sacramento,0.256
9,LA Clippers,0.253
10,Philadelphia,0.248
11,Dallas,0.24600000000000002
12,Charlotte,0.243
13,Cleveland,0.242
14,New York,0.237
15,Detroit,0.23600000000000002
16,Memphis,0.235
17,Washington,0.23399999999999999
18,Miami,0.22699999999999998
19,Chicago,0.226
20,Phoenix,0.225
21,Milwaukee,0.22399999999999998
22,Indiana,0.223
23,Portland,0.21899999999999997
24,Golden State,0.21600000000000003
25,Houston,0.21600000000000003
26,San Antonio,0.213
27,Okla City,0.204
28,New Orleans,0.2
29,Toronto,0.196
30,Minnesota,0.19399999999999998
