Rank,Team,Statistic
1,Denver,0.284
2,Cleveland,0.261
3,Orlando,0.261
4,Utah,0.26
5,Charlotte,0.255
6,Okla City,0.253
7,Boston,0.249
8,Portland,0.245
9,Toronto,0.244
10,Memphis,0.243
11,Phoenix,0.24100000000000002
12,Brooklyn,0.23399999999999999
13,Detroit,0.233
14,San Antonio,0.231
15,LA Lakers,0.22899999999999998
16,Golden State,0.226
17,Indiana,0.225
18,Miami,0.225
19,Houston,0.225
20,Atlanta,0.221
21,Chicago,0.221
22,Sacramento,0.221
23,Washington,0.217
24,Dallas,0.21600000000000003
25,LA Clippers,0.214
26,Minnesota,0.212
27,Philadelphia,0.20800000000000002
28,New York,0.2
29,New Orleans,0.191
30,Milwaukee,0.191
