Rank,Team,Statistic
1,LA Clippers,0.239
2,Houston,0.231
3,Okla City,0.226
4,Phoenix,0.226
5,Toronto,0.226
6,Atlanta,0.22399999999999998
7,Utah,0.221
8,Charlotte,0.22
9,Minnesota,0.22
10,Cleveland,0.218
11,Memphis,0.217
12,Sacramento,0.217
13,Brooklyn,0.217
14,Denver,0.213
15,Portland,0.212
16,Milwaukee,0.21
17,Boston,0.20800000000000002
18,San Antonio,0.20600000000000002
19,Golden State,0.204
20,Indiana,0.20199999999999999
21,Chicago,0.20199999999999999
22,New Orleans,0.201
23,Washington,0.201
24,LA Lakers,0.2
25,Miami,0.19699999999999998
26,Philadelphia,0.196
27,Orlando,0.19399999999999998
28,New York,0.188
29,Dallas,0.179
30,Detroit,0.177
