Rank,Team,Statistic
1,LA Lakers,0.268
2,Utah,0.259
3,LA Clippers,0.258
4,Detroit,0.25
5,Milwaukee,0.248
6,Washington,0.24600000000000002
7,Memphis,0.242
8,Indiana,0.242
9,Boston,0.24100000000000002
10,San Antonio,0.24100000000000002
11,Philadelphia,0.23800000000000002
12,Denver,0.235
13,Golden State,0.235
14,Sacramento,0.233
15,Miami,0.23199999999999998
16,Brooklyn,0.22899999999999998
17,Cleveland,0.22899999999999998
18,Orlando,0.228
19,Atlanta,0.226
20,New Orleans,0.222
21,Houston,0.213
22,Phoenix,0.213
23,Minnesota,0.21
24,Okla City,0.20800000000000002
25,Chicago,0.20600000000000002
26,Portland,0.205
27,Dallas,0.204
28,New York,0.203
29,Toronto,0.2
