Rank,Team,Statistic
1,Denver,0.285
2,Utah,0.265
3,Orlando,0.263
4,Golden State,0.255
5,Philadelphia,0.253
6,Phoenix,0.249
7,Atlanta,0.247
8,Memphis,0.24600000000000002
9,Cleveland,0.24600000000000002
10,Boston,0.24100000000000002
11,LA Lakers,0.237
12,Sacramento,0.23600000000000002
13,Milwaukee,0.23399999999999999
14,Portland,0.23399999999999999
15,Brooklyn,0.233
16,Charlotte,0.233
17,Chicago,0.23199999999999998
18,Okla City,0.231
19,New Orleans,0.226
20,Washington,0.225
21,Minnesota,0.223
22,Houston,0.223
23,Miami,0.221
24,Dallas,0.22
25,Detroit,0.218
26,Toronto,0.21600000000000003
27,LA Clippers,0.21
28,New York,0.20800000000000002
29,Indiana,0.207
30,San Antonio,0.2
