Rank,Team,Statistic
1,Orlando,0.22
2,LA Lakers,0.214
3,Philadelphia,0.21100000000000002
4,Phoenix,0.21100000000000002
5,Milwaukee,0.21100000000000002
6,Minnesota,0.21
7,Houston,0.204
8,Dallas,0.20199999999999999
9,LA Clippers,0.201
10,New Orleans,0.201
11,Atlanta,0.2
12,New York,0.19899999999999998
13,Miami,0.198
14,Utah,0.195
15,Detroit,0.191
16,Toronto,0.18899999999999997
17,Okla City,0.18899999999999997
18,Chicago,0.187
19,Memphis,0.18600000000000003
20,Brooklyn,0.18600000000000003
21,Sacramento,0.183
22,Cleveland,0.182
23,Boston,0.18100000000000002
24,Portland,0.179
25,Denver,0.177
26,Washington,0.175
27,Indiana,0.175
28,Golden State,0.174
29,San Antonio,0.17300000000000001
30,Charlotte,0.168
