Rank,Team,Statistic
1,Houston,0.258
2,Toronto,0.247
3,Minnesota,0.247
4,LA Clippers,0.244
5,Detroit,0.22899999999999998
6,Okla City,0.226
7,LA Lakers,0.225
8,Memphis,0.225
9,Sacramento,0.223
10,Charlotte,0.22
11,Utah,0.217
12,Denver,0.21600000000000003
13,Miami,0.213
14,Milwaukee,0.209
15,Portland,0.209
16,Dallas,0.20800000000000002
17,Indiana,0.20800000000000002
18,Phoenix,0.205
19,Boston,0.205
20,Washington,0.203
21,Cleveland,0.203
22,Philadelphia,0.203
23,New Orleans,0.203
24,New York,0.19899999999999998
25,Golden State,0.196
26,San Antonio,0.193
27,Brooklyn,0.19
28,Chicago,0.18899999999999997
29,Atlanta,0.184
30,Orlando,0.182
