Rank,Team,Statistic
1,Philadelphia,0.22
2,New York,0.217
3,Houston,0.215
4,Utah,0.213
5,New Orleans,0.21
6,Sacramento,0.20600000000000002
7,Minnesota,0.204
8,Dallas,0.20199999999999999
9,Atlanta,0.20199999999999999
10,LA Lakers,0.201
11,Cleveland,0.201
12,Milwaukee,0.2
13,Memphis,0.2
14,Washington,0.198
15,Miami,0.196
16,Detroit,0.195
17,Brooklyn,0.19399999999999998
18,Boston,0.19399999999999998
19,Portland,0.193
20,Denver,0.193
21,Chicago,0.192
22,Indiana,0.188
23,Toronto,0.188
24,Charlotte,0.187
25,Golden State,0.182
26,LA Clippers,0.18
27,San Antonio,0.17800000000000002
28,Phoenix,0.177
29,Okla City,0.177
30,Orlando,0.17600000000000002
