Rank,Team,Statistic
1,LA Lakers,0.252
2,Okla City,0.245
3,Charlotte,0.23600000000000002
4,Denver,0.23399999999999999
5,Houston,0.231
6,Indiana,0.23
7,Minnesota,0.23
8,Brooklyn,0.22699999999999998
9,Miami,0.226
10,LA Clippers,0.218
11,Utah,0.214
12,Detroit,0.214
13,Memphis,0.213
14,Toronto,0.21100000000000002
15,Sacramento,0.20800000000000002
16,Cleveland,0.20600000000000002
17,Chicago,0.20199999999999999
18,Boston,0.201
19,New York,0.2
20,San Antonio,0.19899999999999998
21,Washington,0.19899999999999998
22,Golden State,0.195
23,Portland,0.193
24,New Orleans,0.192
25,Atlanta,0.192
26,Dallas,0.18899999999999997
27,Milwaukee,0.18600000000000003
28,Phoenix,0.18100000000000002
29,Philadelphia,0.16
30,Orlando,0.156
