Rank,Team,Statistic
1,Orlando,0.281
2,Sacramento,0.27899999999999997
3,Utah,0.275
4,Memphis,0.271
5,New York,0.271
6,Washington,0.266
7,LA Clippers,0.262
8,Denver,0.26
9,Atlanta,0.254
10,Boston,0.249
11,Brooklyn,0.248
12,Philadelphia,0.247
13,LA Lakers,0.245
14,Cleveland,0.245
15,Dallas,0.243
16,Charlotte,0.242
17,Miami,0.242
18,Detroit,0.24
19,Indiana,0.24
20,Chicago,0.239
21,San Antonio,0.237
22,Portland,0.23600000000000002
23,Toronto,0.233
24,Golden State,0.23199999999999998
25,Houston,0.225
26,New Orleans,0.223
27,Minnesota,0.21899999999999997
28,Okla City,0.21899999999999997
29,Milwaukee,0.218
30,Phoenix,0.20600000000000002
