Rank,Team,Statistic
1,Houston,0.276
2,LA Clippers,0.263
3,Sacramento,0.247
4,Minnesota,0.24600000000000002
5,Brooklyn,0.23600000000000002
6,Toronto,0.23600000000000002
7,Charlotte,0.23
8,Okla City,0.23
9,Denver,0.23
10,Detroit,0.22699999999999998
11,Miami,0.225
12,Indiana,0.222
13,Phoenix,0.221
14,Chicago,0.21899999999999997
15,New Orleans,0.21899999999999997
16,Portland,0.21100000000000002
17,Milwaukee,0.20800000000000002
18,Utah,0.20800000000000002
19,Cleveland,0.207
20,Atlanta,0.20600000000000002
21,Philadelphia,0.203
22,LA Lakers,0.20199999999999999
23,Memphis,0.19699999999999998
24,Washington,0.195
25,Dallas,0.195
26,Golden State,0.195
27,New York,0.19399999999999998
28,Orlando,0.19399999999999998
29,San Antonio,0.19399999999999998
30,Boston,0.191
