Rank,Team,Statistic
1,Okla City,0.242
2,Indiana,0.239
3,Miami,0.23800000000000002
4,Denver,0.237
5,Utah,0.231
6,Cleveland,0.23
7,Minnesota,0.23
8,New York,0.22699999999999998
9,LA Lakers,0.22399999999999998
10,LA Clippers,0.223
11,Memphis,0.21899999999999997
12,Orlando,0.218
13,Charlotte,0.21100000000000002
14,Detroit,0.21100000000000002
15,Sacramento,0.207
16,Toronto,0.20600000000000002
17,New Orleans,0.20600000000000002
18,Brooklyn,0.20600000000000002
19,San Antonio,0.205
20,Portland,0.203
21,Boston,0.2
22,Phoenix,0.198
23,Atlanta,0.196
24,Chicago,0.196
25,Milwaukee,0.195
26,Washington,0.195
27,Dallas,0.195
28,Philadelphia,0.185
29,Houston,0.182
30,Golden State,0.177
